run_id,csv_filename,flow_rate_target_mlh,gravimetric_mass_g,run_duration_s,drop_count_device,notes
V_50_01,2026-05-13_macro20_50mlh_01_board1.csv,50,4.7992,185.6,65,scale-stream SIR @ ~23 Hz side-channel; clamp open wider than target (actual 93 mL/hr); firmware constants during run: BEAM_WIDTH_MM=0.0 CAL_MARGIN_HIGH=100 CAL_MARGIN_LOW=30 D_MM_MIN=0.1
V_50_02,2026-05-13_macro20_50mlh_02_board1.csv,50,13.3097,573.5,339,10-min campaign at same firmware constants as V_50_01; actual gravimetric flow 83.55 mL/hr; per-drop true 39.26 uL (vs V_50_01 73.83 uL) - run-dependent drop size flagged in docs/bench/V_50_02 §Findings
V_50_03,2026-05-13_macro20_50mlh_03_board1.csv,50,10.6780,600.0,180,10-min controlled-slow campaign after streaming-regime abort + reflash; gravimetric flow 64.07 mL/hr; per-drop true 59.32 uL; firmware constants unchanged from V_50_01/02 baseline; companion scale stream
V_50_04,2026-05-13_macro20_50mlh_04_board1.csv,50,7.4441,600.0,40,first run after mean-pulse firmware patch; UART had a 248 s mid-run gap (cause not characterised: mix of real drip pauses and threshold misses); gravimetric flow 44.66 mL/hr; per-drop V_true is an UPPER bound (186.1 uL) since UART count under-represents N_chamber. Treat as exploratory; see docs/bench/2026-05-13_V_50_04.md
V_50_05,2026-05-13_macro20_50mlh_05_board1.csv,50,7.9481,599.7,153,first run with V_CAL_K=1.27 baked into firmware; independent calibration verification; gravimetric flow 47.72 mL/h; rate-based V_true_chamber 51.76 uL/drop; k_post=1.244 (inside calibration set's [0.79 1.27] range — calibration generalises). See docs/bench/2026-05-13_V_50_05.md
