EVT,238776,DROP dt=9 tau=5 V=189.6
DROP,238776,29,9933,5674,7614,96,66,1896,2,6601,3807,3493
DROP_RAW_BEGIN,238776,29,880,238552371,238576896,238559404
RAW,238552371,3702,3393
RAW,238552399,3703,3393
RAW,238552426,3702,3393
RAW,238552454,3702,3392
RAW,238552481,3702,3394
RAW,238552509,3702,3392
RAW,238552536,3702,3393
RAW,238552563,3699,3392
RAW,238552591,3703,3393
RAW,238552618,3702,3393
RAW,238552646,3704,3394
RAW,238552673,3703,3394
RAW,238552701,3703,3393
RAW,238552728,3701,3392
RAW,238552756,3702,3393
RAW,238552783,3702,3391
RAW,238552811,3702,3393
RAW,238552838,3702,3393
RAW,238552865,3702,3390
RAW,238552893,3701,3394
RAW,238552920,3702,3393
RAW,238552948,3702,3393
RAW,238552975,3699,3393
RAW,238553003,3702,3390
RAW,238553030,3703,3391
RAW,238553058,3702,3393
RAW,238553085,3701,3392
RAW,238553113,3701,3391
RAW,238553140,3701,3391
RAW,238553167,3701,3391
RAW,238553195,3702,3391
RAW,238553222,3702,3392
RAW,238553250,3702,3394
RAW,238553277,3702,3394
RAW,238553305,3702,3395
RAW,238553332,3702,3393
RAW,238553360,3702,3394
RAW,238553387,3699,3393
RAW,238553414,3702,3395
RAW,238553442,3702,3390
RAW,238553469,3702,3393
RAW,238553497,3703,3394
RAW,238553524,3701,3393
RAW,238553552,3701,3393
RAW,238553579,3699,3393
RAW,238553608,3701,3391
RAW,238553635,3701,3393
RAW,238553663,3701,3393
RAW,238553690,3701,3391
RAW,238553718,3699,3393
RAW,238553745,3702,3393
RAW,238553773,3702,3391
RAW,238553800,3699,3393
RAW,238553828,3701,3393
RAW,238553855,3699,3393
RAW,238553882,3699,3391
RAW,238553910,3700,3394
RAW,238553937,3701,3392
RAW,238553965,3701,3391
RAW,238553992,3702,3393
RAW,238554020,3701,3393
RAW,238554047,3699,3393
RAW,238554075,3699,3392
RAW,238554102,3701,3390
RAW,238554130,3701,3393
RAW,238554157,3699,3392
RAW,238554184,3699,3393
RAW,238554212,3702,3391
RAW,238554239,3698,3393
RAW,238554267,3699,3391
RAW,238554294,3699,3391
RAW,238554322,3699,3393
RAW,238554349,3701,3392
RAW,238554377,3699,3391
RAW,238554404,3699,3394
RAW,238554432,3699,3394
RAW,238554459,3701,3394
RAW,238554486,3701,3393
RAW,238554514,3699,3391
RAW,238554541,3699,3394
RAW,238554569,3701,3393
RAW,238554597,3701,3392
RAW,238554625,3701,3391
RAW,238554652,3699,3391
RAW,238554680,3699,3391
RAW,238554707,3701,3394
RAW,238554735,3701,3394
RAW,238554762,3701,3390
RAW,238554790,3701,3393
RAW,238554817,3699,3391
RAW,238554845,3701,3393
RAW,238554872,3699,3394
RAW,238554899,3698,3393
RAW,238554927,3699,3392
RAW,238554954,3701,3391
RAW,238554982,3699,3393
RAW,238555009,3701,3393
RAW,238555037,3700,3393
RAW,238555064,3699,3393
RAW,238555092,3701,3394
RAW,238555119,3701,3392
RAW,238555147,3699,3393
RAW,238555174,3701,3392
RAW,238555201,3699,3393
RAW,238555229,3699,3393
RAW,238555256,3701,3393
RAW,238555284,3700,3394
RAW,238555311,3701,3394
RAW,238555339,3701,3392
RAW,238555366,3701,3393
RAW,238555394,3701,3394
RAW,238555421,3699,3392
RAW,238555449,3699,3391
RAW,238555476,3698,3394
RAW,238555503,3699,3393
RAW,238555531,3701,3393
RAW,238555558,3700,3392
RAW,238555586,3700,3393
RAW,238555613,3699,3393
RAW,238555641,3699,3393
RAW,238555668,3699,3392
RAW,238555696,3699,3393
RAW,238555723,3699,3392
RAW,238555751,3699,3393
RAW,238555778,3701,3393
RAW,238555805,3701,3393
RAW,238555833,3695,3391
RAW,238555860,3701,3393
RAW,238555888,3695,3393
RAW,238555915,3699,3393
RAW,238555943,3701,3393
RAW,238555970,3695,3394
RAW,238555998,3699,3392
RAW,238556025,3699,3392
RAW,238556052,3695,3391
RAW,238556080,3697,3391
RAW,238556107,3695,3393
RAW,238556135,3695,3394
RAW,238556162,3695,3393
RAW,238556190,3694,3392
RAW,238556217,3695,3394
RAW,238556245,3695,3393
RAW,238556272,3694,3393
RAW,238556300,3693,3393
RAW,238556327,3691,3393
RAW,238556354,3694,3393
RAW,238556382,3693,3393
RAW,238556409,3693,3394
RAW,238556437,3691,3393
RAW,238556464,3691,3391
RAW,238556492,3690,3392
RAW,238556519,3691,3390
RAW,238556547,3690,3391
RAW,238556574,3691,3391
RAW,238556603,3689,3394
RAW,238556630,3687,3393
RAW,238556658,3688,3393
RAW,238556685,3686,3392
RAW,238556713,3687,3394
RAW,238556740,3686,3391
RAW,238556768,3685,3393
RAW,238556795,3683,3393
RAW,238556822,3682,3393
RAW,238556850,3682,3393
RAW,238556877,3682,3393
RAW,238556905,3679,3391
RAW,238556932,3680,3393
RAW,238556960,3679,3394
RAW,238556987,3679,3392
RAW,238557015,3677,3392
RAW,238557042,3674,3393
RAW,238557070,3677,3391
RAW,238557097,3677,3393
RAW,238557124,3675,3393
RAW,238557152,3677,3394
RAW,238557179,3677,3393
RAW,238557207,3675,3390
RAW,238557234,3675,3391
RAW,238557262,3675,3393
RAW,238557289,3678,3393
RAW,238557317,3679,3390
RAW,238557344,3677,3392
RAW,238557372,3678,3394
RAW,238557399,3679,3390
RAW,238557426,3679,3392
RAW,238557454,3679,3391
RAW,238557481,3682,3394
RAW,238557509,3683,3394
RAW,238557536,3684,3393
RAW,238557564,3683,3393
RAW,238557591,3686,3394
RAW,238557619,3687,3391
RAW,238557646,3689,3392
RAW,238557674,3689,3393
RAW,238557701,3690,3393
RAW,238557728,3694,3393
RAW,238557756,3695,3393
RAW,238557783,3695,3393
RAW,238557811,3695,3391
RAW,238557838,3695,3393
RAW,238557866,3702,3393
RAW,238557893,3703,3392
RAW,238557921,3705,3393
RAW,238557948,3707,3391
