position_tag,n_drops,V_est_mean_uL,V_true_uL,K_fit
high_splash,8,259.94262238744136,78.79999999999951,0.3031438218029095
low_bot_core,14,90.23991845945307,53.757142857142426,0.595713557534926
low_post_overnight,74,128.68416639643473,53.12953216374268,0.4128676716921614
mid_low_remount,38,105.36571965446531,54.982783882783984,0.5218280106954488
new_remount,16,155.81731852209464,51.73749999999977,0.33203947090556224
