t_s,status,grams
12.888,D,46.9471
12.888,D,46.9471
12.888,D,46.9471
12.888,D,46.9471
12.888,D,46.9471
13.097,D,46.9471
13.097,D,46.9471
13.097,D,46.9471
13.097,D,46.9471
13.097,D,46.9471
13.304,D,46.9471
13.304,D,46.9471
13.304,D,46.9471
13.304,D,46.9470
13.304,D,46.9470
13.510,D,46.9470
13.510,D,46.9547
13.510,D,46.9913
13.510,D,46.9918
13.716,D,46.9921
13.716,D,46.9922
13.716,D,46.9918
13.716,D,46.9915
13.716,D,46.9912
13.919,D,46.9910
13.919,D,46.9908
13.919,D,46.9907
13.919,D,46.9905
13.919,D,46.9903
14.123,D,46.9901
14.123,D,46.9900
14.123,D,46.9899
14.123,D,46.9898
14.327,D,46.9897
14.327,D,46.9896
14.327,D,46.9896
14.327,D,46.9894
14.327,D,46.9893
14.529,D,46.9892
14.529,D,46.9892
14.529,D,46.9892
14.529,D,46.9892
14.529,D,46.9892
14.732,D,46.9892
14.732,D,46.9892
14.732,D,46.9892
14.732,D,46.9891
14.934,D,46.9891
14.934,D,46.9891
14.934,D,46.9891
14.934,D,46.9891
14.934,D,46.9891
15.139,D,46.9891
15.139,D,46.9891
15.139,D,46.9891
15.139,D,46.9891
15.342,D,46.9891
15.342,D,46.9891
15.342,D,46.9891
15.342,D,46.9891
15.342,D,46.9891
15.545,D,46.9891
15.545,D,46.9891
15.545,D,46.9891
15.545,D,46.9891
15.545,D,46.9891
15.748,D,46.9891
15.748,D,46.9891
15.748,D,46.9891
15.748,D,46.9891
15.748,D,46.9891
15.952,D,46.9891
15.952,D,46.9891
15.952,D,46.9891
15.952,D,46.9891
16.162,D,46.9891
16.162,D,46.9891
16.162,D,46.9891
16.162,D,46.9891
16.162,D,46.9891
16.370,D,46.9891
16.370,D,46.9891
16.370,D,46.9891
16.370,D,46.9891
16.370,D,46.9891
16.579,D,46.9891
16.579,D,46.9891
16.579,D,46.9891
16.579,D,46.9891
16.579,D,46.9891
16.787,D,46.9891
16.787,D,46.9891
16.787,D,47.0051
16.787,D,47.0333
16.994,D,47.0339
16.994,D,47.0343
16.994,D,47.0343
16.994,D,47.0340
16.994,D,47.0336
17.202,D,47.0333
17.202,D,47.0331
17.202,D,47.0329
17.202,D,47.0327
17.202,D,47.0326
17.411,D,47.0324
17.411,D,47.0322
17.411,D,47.0321
17.411,D,47.0320
17.411,D,47.0319
17.619,D,47.0318
17.620,D,47.0317
17.620,D,47.0316
17.620,D,47.0315
17.829,D,47.0313
17.829,D,47.0313
17.829,D,47.0313
17.829,D,47.0313
17.829,D,47.0313
18.032,D,47.0313
18.032,D,47.0313
18.032,D,47.0313
18.032,D,47.0313
18.032,D,47.0313
18.236,D,47.0312
18.237,D,47.0312
18.237,D,47.0312
18.237,D,47.0312
18.237,D,47.0312
18.440,D,47.0312
18.440,D,47.0312
18.440,D,47.0312
18.440,D,47.0312
18.643,D,47.0312
18.643,D,47.0312
18.643,D,47.0312
18.643,D,47.0312
18.643,D,47.0312
18.844,D,47.0312
18.844,D,47.0312
18.844,D,47.0312
18.844,D,47.0312
19.048,D,47.0312
19.048,D,47.0312
19.048,D,47.0312
19.048,D,47.0312
19.048,D,47.0312
19.252,D,47.0312
19.253,D,47.0312
19.253,D,47.0312
19.253,D,47.0312
19.253,D,47.0312
19.454,D,47.0312
19.454,D,47.0312
19.454,D,47.0312
19.454,D,47.0312
19.657,D,47.0312
19.658,D,47.0312
19.658,D,47.0312
19.658,D,47.0312
19.658,D,47.0312
19.862,D,47.0312
19.862,D,47.0312
19.862,D,47.0312
19.862,D,47.0312
19.862,D,47.0312
20.064,D,47.0312
20.064,D,47.0312
20.064,D,47.0312
20.064,D,47.0363
20.269,D,47.0755
20.269,D,47.0762
20.269,D,47.0765
20.269,D,47.0765
20.269,D,47.0761
20.472,D,47.0758
20.472,D,47.0755
20.472,D,47.0753
20.472,D,47.0752
20.472,D,47.0750
20.675,D,47.0749
20.675,D,47.0747
20.675,D,47.0745
20.675,D,47.0744
20.878,D,47.0743
20.878,D,47.0742
20.878,D,47.0741
20.878,D,47.0740
20.878,D,47.0740
21.081,D,47.0738
21.081,D,47.0736
21.081,D,47.0736
21.081,D,47.0735
21.081,D,47.0734
21.284,D,47.0733
21.284,D,47.0732
21.284,D,47.0732
21.284,D,47.0732
21.486,D,47.0731
21.486,D,47.0731
21.486,D,47.0730
21.486,D,47.0730
21.486,D,47.0730
21.690,D,47.0729
21.690,D,47.0729
21.690,D,47.0729
21.690,D,47.0728
21.905,D,47.0728
21.905,D,47.0727
21.905,D,47.0727
21.905,D,47.0727
21.905,D,47.0726
21.905,D,47.0726
22.114,D,47.0726
22.114,D,47.0726
22.114,D,47.0726
22.114,D,47.0725
22.322,D,47.0725
22.322,D,47.0725
22.322,D,47.0725
22.322,D,47.0725
22.322,D,47.0725
22.529,D,47.0725
22.529,D,47.0725
22.529,D,47.0726
22.529,D,47.0726
22.529,D,47.0726
22.734,D,47.0726
22.735,D,47.0726
22.735,D,47.0726
22.735,D,47.0726
22.941,D,47.0726
22.941,D,47.0727
22.941,D,47.0727
22.941,D,47.0727
22.941,D,47.0727
23.146,D,47.0727
23.146,D,47.0727
23.146,D,47.0727
23.146,D,47.0727
23.146,D,47.0728
23.352,D,47.0728
23.352,D,47.0728
23.352,D,47.0728
23.352,D,47.0728
23.352,D,47.0728
23.558,D,47.1087
23.558,D,47.1171
23.558,D,47.1180
23.558,D,47.1184
23.766,D,47.1183
23.766,D,47.1179
23.766,D,47.1176
23.766,D,47.1173
23.766,D,47.1171
23.970,D,47.1169
23.970,D,47.1167
23.970,D,47.1165
23.970,D,47.1164
23.970,D,47.1162
24.172,D,47.1161
24.172,D,47.1160
24.172,D,47.1159
24.172,D,47.1158
24.388,D,47.1157
24.388,D,47.1156
24.388,D,47.1154
24.388,D,47.1154
24.388,D,47.1154
24.591,D,47.1155
24.591,D,47.1155
24.591,D,47.1156
24.591,D,47.1156
24.591,D,47.1156
24.794,D,47.1156
