t_s,status,grams
12.721,D,14.5253
12.926,D,14.5254
12.926,D,14.5251
12.926,D,14.5245
12.926,D,14.5238
12.926,D,14.5233
13.131,D,14.5231
13.131,D,14.5230
13.131,D,14.5229
13.131,D,14.5227
13.131,D,14.5225
13.336,D,14.5222
13.336,D,14.5220
13.336,D,14.5218
13.336,D,14.5217
13.336,D,14.5216
13.540,D,14.5215
13.540,D,14.5213
13.540,D,14.5212
13.540,D,14.5211
13.745,D,14.5211
13.745,D,14.5210
13.745,D,14.5210
13.745,D,14.5210
13.745,D,14.5210
13.948,D,14.5211
13.948,D,14.5211
13.948,D,14.5211
13.948,D,14.5211
13.948,D,14.5211
14.153,D,14.5211
14.153,D,14.5211
14.153,D,14.5211
14.153,D,14.5211
14.355,D,14.5211
14.355,D,14.5211
14.355,D,14.5211
14.355,D,14.5211
14.355,D,14.5211
14.559,D,14.5210
14.559,D,14.5210
14.559,D,14.5210
14.559,D,14.5210
14.559,D,14.5210
14.761,D,14.5210
14.761,D,14.5210
14.761,D,14.5210
14.761,D,14.5210
14.964,D,14.5209
14.964,D,14.5209
14.964,D,14.5209
14.964,D,14.5209
14.964,D,14.5209
15.167,D,14.5209
15.167,D,14.5209
15.167,D,14.5209
15.167,D,14.5209
15.369,D,14.5263
15.369,D,14.5663
15.369,D,14.5666
15.369,D,14.5663
15.369,D,14.5657
15.571,D,14.5650
15.571,D,14.5645
15.571,D,14.5642
15.571,D,14.5640
15.571,D,14.5639
15.773,D,14.5637
15.773,D,14.5634
15.773,D,14.5632
15.773,D,14.5630
15.978,D,14.5628
15.978,D,14.5627
15.978,D,14.5626
15.978,D,14.5626
15.978,D,14.5627
16.180,D,14.5627
16.180,D,14.5627
16.180,D,14.5628
16.180,D,14.5627
16.180,D,14.5627
16.382,D,14.5626
16.382,D,14.5625
16.382,D,14.5622
16.382,D,14.5619
16.584,D,14.5618
16.584,D,14.5617
16.584,D,14.5618
16.584,D,14.5618
16.584,D,14.5619
16.789,D,14.5619
16.789,D,14.5619
16.789,D,14.5619
16.789,D,14.5619
16.789,D,14.5619
16.992,D,14.5619
16.992,D,14.5619
16.992,D,14.5619
16.992,D,14.5619
17.196,D,14.5619
17.196,D,14.5619
17.196,D,14.5619
17.196,D,14.5619
17.196,D,14.5619
17.399,D,14.5619
17.399,D,14.5619
17.399,D,14.5619
17.399,D,14.5619
17.399,D,14.5619
17.601,D,14.5619
17.601,D,14.5619
17.601,D,14.5619
17.601,D,14.5619
17.803,D,14.5619
17.803,D,14.5619
17.803,D,14.5619
17.803,D,14.5927
17.803,D,14.6066
18.005,D,14.6066
18.005,D,14.6065
18.005,D,14.6062
18.005,D,14.6055
18.208,D,14.6051
18.208,D,14.6049
18.208,D,14.6048
18.208,D,14.6047
18.208,D,14.6046
18.408,D,14.6044
18.409,D,14.6042
18.409,D,14.6041
18.409,D,14.6041
18.409,D,14.6040
18.610,D,14.6040
18.610,D,14.6040
18.610,D,14.6039
18.610,D,14.6039
18.812,D,14.6038
18.812,D,14.6036
18.812,D,14.6034
18.812,D,14.6034
18.812,D,14.6034
19.015,D,14.6034
19.015,D,14.6034
19.015,D,14.6034
19.015,D,14.6034
19.015,D,14.6034
19.218,D,14.6033
19.218,D,14.6033
19.218,D,14.6033
19.218,D,14.6033
19.422,D,14.6033
19.422,D,14.6033
19.422,D,14.6033
19.422,D,14.6033
19.422,D,14.6033
19.629,D,14.6033
19.629,D,14.6033
19.629,D,14.6033
19.629,D,14.6033
19.629,D,14.6032
19.836,D,14.6032
19.836,D,14.6032
19.836,D,14.6032
19.836,D,14.6032
20.043,D,14.6032
20.044,D,14.6032
20.044,D,14.6032
20.044,D,14.6032
20.044,D,14.6032
20.251,D,14.6032
20.251,D,14.6032
20.251,D,14.6032
20.251,D,14.6032
20.251,D,14.6032
20.459,D,14.6032
20.459,D,14.6486
20.460,D,14.6491
20.460,D,14.6488
20.460,D,14.6483
20.668,D,14.6477
20.668,D,14.6471
20.668,D,14.6468
20.668,D,14.6466
20.875,D,14.6464
20.875,D,14.6462
20.875,D,14.6459
20.875,D,14.6457
20.875,D,14.6454
21.083,D,14.6453
21.083,D,14.6451
21.083,D,14.6451
21.083,D,14.6450
21.083,D,14.6449
21.291,D,14.6448
21.291,D,14.6447
21.291,D,14.6446
