abs_ms,drop_N,transit_us,pulse_top_us,pulse_bot_us,v_cmps,d_0.1mm,V_0.1uL,state,Q_cmLph,top_raw,bot_raw
1624140,305,12816,2971,8225,72,22,54,2,0,3930,3433
1625597,306,12927,3347,8241,71,24,75,2,10,3929,3434
1627086,307,12827,3237,8370,72,24,70,2,20,3930,3433
1628563,308,12906,3328,8295,71,24,74,2,30,3929,3433
1630032,309,12825,3127,8228,72,23,63,2,41,3929,3435
1631504,310,12914,3296,8276,71,24,72,2,51,3930,3431
1632986,311,12979,3454,8257,71,25,82,2,61,3930,3429
1634471,312,12829,3181,8230,72,23,66,2,71,3929,3435
1635957,313,12962,3372,8230,71,24,76,2,81,3930,3433
1637443,314,12862,3261,8227,71,24,71,2,91,3929,3432
1638935,315,12889,3279,8281,71,24,71,2,101,3930,3432
1640425,316,12942,3402,8264,71,25,79,2,111,3929,3430
1641920,317,12830,3183,8295,72,23,66,2,122,3930,3434
1643416,318,12842,3248,8289,72,24,70,2,132,3929,3433
1644914,319,12936,3359,8251,71,24,76,2,142,3930,3429
1646421,320,12802,3176,8252,72,23,66,2,152,3930,3429
1647921,321,12869,3299,8188,71,24,73,2,162,3930,3430
1649426,322,12858,3255,8133,71,24,70,2,172,3930,3431
1650929,323,12713,3038,8078,72,22,59,2,182,3936,3432
1652438,324,12919,3255,8227,71,24,69,2,193,3929,3435
1653944,325,12662,3022,8322,73,22,59,2,203,3930,3429
1655476,326,12713,3033,8204,72,22,59,2,203,3930,3432
1656988,327,12910,3313,8086,71,24,73,2,203,3929,3435
1658498,328,12840,3215,8145,72,24,68,2,203,3929,3432
1660014,329,12836,3113,8086,72,23,62,2,203,3930,3435
1661537,330,12897,3241,8146,71,24,69,2,193,3930,3433
1663054,331,12758,3090,8164,72,23,62,2,193,3930,3434
1664577,332,12772,3108,8090,72,23,63,2,193,3931,3432
1666094,333,12891,3230,8214,71,24,68,2,193,3930,3432
1667619,334,12897,3253,8083,71,24,70,2,193,3930,3435
1669135,335,12856,3184,8067,71,23,66,2,193,3932,3432
1670655,336,12845,3183,8091,72,23,66,2,193,3930,3432
1672184,337,12844,3181,8208,72,23,66,2,193,3929,3432
1673712,338,12948,3300,8089,71,24,72,2,193,3929,3435
1675244,339,12830,3159,8085,72,23,65,2,193,3936,3434
1676776,340,12894,3240,8036,71,24,69,2,193,3931,3435
1678299,341,12876,3158,8157,71,23,64,2,193,3930,3435
1679835,342,12827,3110,8088,72,23,62,2,193,3930,3436
1681369,343,12951,3349,8086,71,24,75,2,193,3930,3433
1682899,344,12916,3253,8139,71,24,69,2,193,3930,3432
1684427,345,12772,3111,8136,72,23,63,2,193,3930,3432
1685959,346,12863,3235,8053,71,24,69,2,193,3936,3431
1687489,347,12857,3261,8123,71,24,71,2,193,3936,3431
1689025,348,12903,3251,8085,71,24,69,2,193,3936,3435
1690561,349,12951,3348,8078,71,24,75,2,193,3930,3434
1692100,350,12908,3242,8073,71,24,69,2,193,3931,3432
1693640,351,12930,3318,8132,71,24,73,2,193,3930,3432
1695177,352,12840,3216,8071,72,24,68,2,193,3936,3434
1696706,353,12841,3172,8060,72,23,65,2,193,3931,3432
1698252,354,12939,3335,8026,71,24,74,2,193,3929,3434
1699792,355,12941,3287,8069,71,24,71,2,193,3929,3433
1701337,356,12909,3295,8023,71,24,72,2,193,3930,3433
1702884,357,12863,3224,8118,71,24,68,2,193,3930,3430
1704430,358,12870,3234,8114,71,24,69,2,193,3929,3430
1705975,359,12966,3254,7793,71,24,68,2,193,3930,3434
1707527,360,12960,3299,8139,71,24,71,2,193,3930,3433
1709080,361,12838,3181,8004,72,23,66,2,193,3931,3434
1710623,362,12960,3334,8061,71,24,74,2,193,3930,3432
1712166,363,12839,3168,8012,72,23,65,2,193,3930,3434
1713700,364,12857,3208,8128,71,23,67,2,193,3931,3431
1715252,365,12911,3328,8006,71,24,74,2,193,3930,3434
1716804,366,12990,3399,8063,71,25,78,2,193,3930,3431
1718350,367,13032,3385,8014,70,24,76,2,193,3930,3434
1719902,368,12930,3274,8001,71,24,70,2,193,3929,3433
1721457,369,12939,3245,7931,71,24,68,2,193,3929,3433
1723017,370,12879,3252,8105,71,24,70,2,193,3930,3429
1724577,371,12857,3173,8054,71,23,65,2,193,3936,3432
1726135,372,12916,3222,7867,71,23,67,2,193,3931,3432
1727693,373,12844,3169,8065,72,23,65,2,193,3936,3432
1729254,374,12975,3307,8041,71,24,72,2,193,3930,3432
1730807,375,12943,3271,8002,71,24,70,2,193,3929,3435
1732373,376,12904,3255,8006,71,24,70,2,193,3936,3434
1733931,377,12903,3251,7946,71,24,69,2,193,3930,3434
1735492,378,12900,3170,7880,71,23,64,2,193,3930,3433
1737057,379,12859,3180,7909,71,23,66,2,193,3931,3430
1738617,380,12976,3302,7939,71,24,71,2,193,3930,3434
1740185,381,12946,3209,7917,71,23,66,2,193,3930,3432
1741752,382,12896,3212,7924,71,23,67,2,193,3930,3433
1743312,383,12910,3233,7860,71,24,68,2,193,3930,3434
1744879,384,12851,3130,7988,72,23,63,2,193,3930,3432
1746442,385,12862,3176,7983,71,23,65,2,193,3930,3431
1748009,386,12968,3303,7962,71,24,72,2,193,3930,3432
1749574,387,12960,3243,7937,71,23,68,2,193,3930,3435
1751137,388,12961,3287,7869,71,24,71,2,193,3930,3434
1752706,389,12999,3334,7835,71,24,73,2,193,3929,3435
1754276,390,12917,3184,7922,71,23,65,2,193,3936,3432
1755851,391,12845,3162,7873,72,23,65,2,193,3936,3432
1757422,392,12915,3252,7929,71,24,69,2,193,3930,3433
1758992,393,12919,3257,7853,71,24,69,2,193,3930,3432
1760563,394,12774,3068,7918,72,23,60,2,193,3931,3432
1762135,395,12902,3215,7940,71,23,67,2,193,3930,3434
1763712,396,12903,3173,7939,71,23,64,2,193,3931,3434
1765285,397,12921,3228,7778,71,23,68,2,193,3930,3433
1766856,398,12934,3238,7869,71,23,68,2,193,3930,3434
1768430,399,12832,3088,7874,72,23,60,2,193,3931,3434
1770010,400,12931,3254,7841,71,24,69,2,193,3929,3432
1771589,401,12879,3178,7544,71,23,65,2,193,3930,3429
1773169,402,12909,3170,7917,71,23,64,2,193,3930,3432
1774749,403,12904,3220,7794,71,23,67,2,193,3930,3434
1776325,404,12903,3183,7723,71,23,65,2,193,3930,3435
1777902,405,12911,3182,7861,71,23,65,2,193,3931,3434
1779485,406,12937,3211,7747,71,23,66,2,193,3930,3429
1781075,407,12891,3152,7778,71,23,63,2,193,3930,3432
1782659,408,12846,3099,7853,72,23,61,2,193,3931,3434
1784247,409,12971,3241,7784,71,23,67,2,193,3930,3433
1785834,410,12889,3231,7835,71,24,68,2,193,3929,3430
1787419,411,12928,3172,7736,71,23,64,2,193,3929,3434
1789006,412,12963,3244,7793,71,23,68,2,182,3930,3433
1790597,413,12844,3109,7855,72,23,61,2,182,3930,3432
1792189,414,12797,3038,7755,72,22,58,2,182,3931,3430
1793781,415,12856,3155,7914,71,23,64,2,182,3930,3431
1796953,416,12951,3255,7961,71,24,69,2,172,3930,3429
1798539,417,12940,3256,7940,71,24,69,2,172,3930,3435
1800134,418,12845,3110,7853,72,23,61,2,172,3931,3432
1801729,419,12930,3233,7913,71,23,68,2,172,3930,3432
1803321,420,12975,3242,7710,71,23,67,2,172,3930,3432
1804911,421,12916,3182,7715,71,23,65,2,172,3929,3432
1806509,422,12962,3282,7776,71,24,70,2,172,3929,3432
1808108,423,12977,3280,7675,71,24,70,2,172,3929,3429
1809701,424,12857,3158,7715,71,23,64,2,172,3930,3431
1811293,425,12918,3209,7781,71,23,66,2,172,3931,3432
1812887,426,12878,3158,7814,71,23,64,2,172,3936,3429
1814482,427,12855,3163,7907,71,23,65,2,172,3931,3432
1816080,428,12878,3180,7889,71,23,65,2,172,3936,3429
1817676,429,12806,3027,7888,72,22,57,2,172,3931,3429
1819272,430,12850,3056,7896,72,22,58,2,172,3930,3429
1820869,431,12903,3160,7795,71,23,64,2,172,3930,3434
1822472,432,12839,3111,7927,72,23,62,2,172,3930,3434
1824071,433,12910,3190,7750,71,23,65,2,172,3930,3429
1825675,434,12951,3225,7815,71,23,67,2,182,3929,3429
1827276,435,12984,3216,7823,71,23,66,2,182,3930,3429
1828884,436,12859,3113,7841,71,23,61,2,182,3936,3432
1830490,437,12929,3243,7843,71,24,68,2,182,3929,3432
1832096,438,12952,3252,7820,71,24,68,2,182,3930,3429
1833703,439,12858,3111,7776,71,23,61,2,182,3929,3432
1835314,440,13032,3348,7732,70,24,73,2,182,3930,3435
1836919,441,12853,3108,7702,71,23,61,2,182,3931,3432
1838532,442,12979,3253,7857,71,24,68,2,182,3929,3434
1840144,443,12910,3151,7788,71,23,63,2,182,3929,3435
1841757,444,12963,3230,7708,71,23,67,2,182,3930,3432
1843369,445,12897,3149,7797,71,23,63,2,182,3930,3434
1844986,446,12903,3161,7722,71,23,64,2,182,3936,3434
1846608,447,12969,3272,7760,71,24,69,2,182,3929,3430
1848226,448,13003,3330,7716,71,24,73,2,182,3930,3432
1849848,449,13023,3285,7645,70,24,69,2,182,3930,3434
1851463,450,13004,3200,7649,71,23,64,2,182,3930,3434
1853078,451,13010,3307,7758,70,24,71,2,182,3930,3430
1854695,452,12919,3186,7781,71,23,65,2,182,3936,3432
1856318,453,12975,3232,7651,71,23,67,2,182,3930,3435
1857940,454,12960,3222,7715,71,23,66,2,182,3929,3433
1859554,455,12997,3282,7678,71,24,70,2,182,3930,3429
1861166,456,12918,3176,7775,71,23,64,2,182,3930,3432
1862788,457,12903,3168,7730,71,23,64,2,182,3932,3434
1864407,458,12997,3278,7797,71,24,69,2,182,3930,3434
1866026,459,12942,3220,7756,71,23,67,2,182,3931,3430
1867647,460,12922,3184,7705,71,23,65,2,182,3936,3433
1869259,461,12949,3165,7708,71,23,63,2,182,3929,3434
1870880,462,13077,3225,7577,70,23,65,2,182,3930,3435
1872503,463,12963,3215,7694,71,23,66,2,182,3929,3431
1874120,464,12952,3256,7682,71,24,69,2,182,3931,3429
1875742,465,13034,3312,7650,70,24,71,2,182,3930,3434
1877367,466,12917,3182,7709,71,23,65,2,182,3930,3432
1878991,467,12900,3109,7722,71,23,61,2,182,3936,3435
1880614,468,13001,3202,7645,71,23,64,2,182,3929,3434
1882235,469,13038,3251,7525,70,23,67,2,182,3931,3433
1883859,470,12981,3280,7636,71,24,70,2,182,3930,3433
1885488,471,12969,3231,7646,71,23,67,2,182,3930,3434
1887115,472,12996,3228,7677,71,23,66,2,182,3929,3429
1888743,473,13006,3209,7572,71,23,65,2,182,3929,3434
1890377,474,12912,3151,7632,71,23,63,2,182,3930,3432
1892020,475,12928,3184,7626,71,23,65,2,182,3936,3432
1893657,476,13022,3293,7781,70,24,70,2,182,3929,3432
1895290,477,12951,3182,7711,71,23,64,2,182,3930,3433
1896924,478,13088,3341,7580,70,24,72,2,182,3930,3434
1898563,479,12929,3179,7645,71,23,64,2,182,3930,3432
1900207,480,12998,3249,7695,71,23,67,2,182,3929,3432
1901847,481,12941,3176,7752,71,23,64,2,182,3930,3430
1903483,482,12974,3254,7723,71,24,68,2,182,3936,3435
1905120,483,13004,3176,7653,71,23,63,2,182,3929,3434
1906761,484,12918,3183,7636,71,23,65,2,182,3930,3432
1908405,485,12965,3104,7502,71,22,59,2,182,3930,3434
1910049,486,12969,3221,7642,71,23,66,2,182,3930,3434
1911684,487,12973,3169,7654,71,23,63,2,182,3930,3432
1913324,488,13010,3276,7722,70,24,69,2,182,3929,3434
1914976,489,12975,3184,7577,71,23,64,2,182,3929,3435
1916621,490,13020,3275,7693,70,24,69,2,182,3929,3431
1918264,491,12806,3111,8256,72,23,62,2,182,3931,3429
1919909,492,12784,3142,8276,72,23,64,2,182,3936,3432
1921552,493,12878,3234,8256,71,24,69,2,182,3931,3429
1923194,494,12805,3101,8256,72,23,62,2,182,3930,3429
1924839,495,12832,3158,8224,72,23,65,2,182,3931,3434
1926493,496,12891,3220,8286,71,23,68,2,182,3930,3432
1928142,497,12916,3243,8271,71,24,69,2,182,3930,3432
1929795,498,12901,3180,8179,71,23,65,2,182,3929,3435
1931446,499,12948,3196,8143,71,23,65,2,182,3929,3433
1933092,500,12930,3258,8204,71,24,69,2,182,3929,3432
