uart_idx,step_idx,t_uart_rel_ms,t_step_rel_ms,t_lag_ms,delta_g,v_true_uL,v_est_uL,v_diff_uL
22,0,32848.0,32983.0,135.0,0.06074018018018018,60.74018018018018,47.81131457135068,-12.928865608829504
24,2,35874.0,36308.0,434.0,0.07969160410410409,79.69160410410409,46.12727076705799,-33.564333337046094
27,4,40437.0,40483.0,46.0,0.08122954545454542,81.22954545454542,46.81163504206454,-34.41791041248088
31,7,46515.0,46858.0,343.0,0.07893757297748127,78.93757297748127,46.96138710547516,-31.976185872006106
34,9,51104.0,51058.0,-46.0,0.08116272727272722,81.16272727272722,46.75108476815552,-34.4116425045717
35,10,52636.0,53233.0,597.0,0.07890346585117225,78.90346585117226,46.45274200783022,-32.45072384334204
38,12,57229.0,57533.0,304.0,0.07738478705978702,77.38478705978702,47.808789460104194,-29.57599759968282
42,15,63349.0,63833.0,484.0,0.07983736829709454,79.83736829709454,48.214190568849695,-31.623177728244848
45,17,67960.0,68133.0,173.0,0.0799504795663053,79.9504795663053,46.7838496538799,-33.16662991242541
48,19,72566.0,72533.0,-33.0,0.07619457806430274,76.19457806430275,46.481902677825,-29.71267538647775
49,20,74112.0,74608.0,496.0,0.07960680984153434,79.60680984153434,47.01719235327681,-32.58961748825753
52,22,78744.0,78908.0,164.0,0.08013955379482862,80.13955379482863,47.615820301713484,-32.523733493115145
56,25,84940.0,85433.0,493.0,0.08103822629969426,81.03822629969426,45.93302016361014,-35.10520613608412
59,27,89560.0,89758.0,198.0,0.0812954545454545,81.2954545454545,47.60688114556773,-33.68857339988677
62,29,94210.0,94158.0,-52.0,0.07977297547426687,79.77297547426687,46.481078633587536,-33.291896840679335
63,30,95762.0,96283.0,521.0,0.08067223696911174,80.67223696911174,46.0535621478989,-34.618674821212835
66,32,100437.0,100608.0,171.0,0.08137954545454562,81.37954545454562,46.24676797688679,-35.132777477658834
69,34,105114.0,105033.0,-81.0,0.0812435439442778,81.2435439442778,46.467042575984976,-34.77650136829283
