abs_ms,drop_N,transit_us,pulse_top_us,pulse_bot_us,v_cmps,d_0.1mm,V_0.1uL,state,Q_cmLph,top_raw,bot_raw
91869,32,10209,3239,5852,93,31,150,2,1657,3923,3553
94647,33,10083,3138,5866,94,30,142,2,1657,3925,3552
97419,34,10097,3160,5880,94,30,145,2,1657,3923,3552
100193,35,10094,3141,5882,94,30,142,2,1657,3924,3552
102971,36,10107,3106,5835,94,30,137,2,1657,3925,3547
105755,37,10006,3123,5858,95,30,144,2,1657,3930,3552
108551,38,10056,3124,5807,95,30,141,2,1657,3928,3554
111336,39,10068,3062,5849,94,29,133,2,1657,3926,3554
114115,40,10093,3058,5812,94,29,131,2,1657,3925,3552
116900,41,10129,3072,5757,94,29,131,2,1657,3928,3554
119696,42,10076,3067,5797,94,29,133,2,1657,3925,3554
122489,43,10103,3138,5838,94,30,141,2,1657,3926,3547
125275,44,10037,3057,5897,95,29,133,2,1657,3928,3547
128059,45,9966,3052,5810,95,30,136,2,1657,3936,3544
130839,46,10122,3123,5777,94,30,138,2,1657,3928,3555
133639,47,10111,3192,5816,94,30,148,2,1657,3925,3544
136443,48,10093,3109,5848,94,30,138,2,1657,3928,3552
139239,49,10134,3105,5799,94,30,135,2,1657,3928,3555
142044,50,10020,3007,5814,95,29,127,2,1657,3929,3552
144859,51,10089,3098,5846,94,30,136,2,1657,3928,3553
147667,52,10040,3066,5837,95,29,134,2,1657,3928,3546
150468,53,10068,3100,5871,94,30,138,2,1657,3928,3557
153280,54,10045,3014,5822,95,29,127,2,1657,3929,3545
156100,55,10039,3121,5824,95,30,142,2,1657,3929,3544
158906,56,10077,3122,5829,94,30,140,2,1657,3927,3553
161722,57,10039,3123,5823,95,30,142,2,1657,3930,3544
164523,58,10072,3084,5852,94,30,135,2,1657,3928,3554
167348,59,10037,3121,5826,95,30,142,2,1657,3929,3544
170177,60,10093,3137,5880,94,30,142,2,1657,3924,3552
172996,61,10168,3265,5837,93,31,156,2,1657,3923,3547
175828,62,10207,3160,5793,93,30,139,2,1657,3922,3555
178653,63,10196,3185,5826,93,30,143,2,1657,3925,3544
181495,64,10093,3087,5846,94,30,135,2,1657,3925,3552
184322,65,10019,3075,5897,95,30,136,2,1657,3929,3552
187152,66,10092,3098,5854,94,30,136,2,1657,3926,3552
189986,67,10077,3124,5825,94,30,140,2,1657,3928,3554
192817,68,10021,3038,5851,95,29,131,2,1657,3930,3552
195652,69,10039,3123,5881,95,30,142,2,1657,3929,3544
198499,70,10092,3086,5831,94,30,135,2,1657,3928,3552
201374,71,10090,3098,5828,94,30,136,2,1657,3926,3553
204223,72,10209,3200,5835,93,30,145,2,1657,3921,3554
207076,73,10051,3073,5823,95,30,135,2,1657,3927,3544
209921,74,10046,3085,5828,95,30,137,2,1657,3927,3545
212766,75,10077,3120,5784,94,30,140,2,1657,3928,3552
215618,76,10087,3084,5850,94,30,135,2,1657,3925,3552
218484,77,10019,3067,5852,95,30,135,2,1657,3930,3552
221329,78,10124,3147,5866,94,30,141,2,1657,3923,3544
224197,79,10047,2986,5817,95,29,124,2,1657,3929,3544
227060,80,10054,3060,5816,95,29,133,2,1657,3927,3543
229910,81,10092,3086,5853,94,30,135,2,1657,3928,3552
232783,82,10052,3073,5863,95,30,135,2,1657,3929,3544
235657,83,10067,3027,5805,94,29,128,2,1657,3928,3557
238525,84,10078,3125,5788,94,30,141,2,1657,3928,3554
241397,85,10026,3027,5839,95,29,130,2,1657,3930,3549
244274,86,10093,3069,5814,94,29,132,2,1657,3925,3552
247142,87,10040,3125,5826,95,30,142,2,1657,3930,3544
250028,88,10042,3013,5760,95,29,127,2,1657,3930,3546
252908,89,10046,3054,5825,95,29,132,2,1657,3928,3544
255778,90,10092,3098,5852,94,30,136,2,1657,3923,3552
258657,91,10075,3124,5826,94,30,141,2,1657,3929,3555
261554,92,10087,3064,5826,94,29,132,2,1657,3925,3552
264443,93,10093,3100,5841,94,30,136,2,1657,3928,3552
267326,94,10032,3124,5828,95,30,143,2,1657,3930,3546
270213,95,10039,3025,5827,95,29,129,2,1657,3930,3547
273116,96,10017,2953,5783,95,28,121,2,1657,3930,3554
276017,97,10020,3086,5885,95,30,138,2,1657,3928,3552
278910,98,10077,3122,5787,94,30,140,2,1657,3928,3553
281811,99,10121,3107,5828,94,30,136,2,1657,3927,3545
284794,100,10048,3057,5821,95,29,133,2,1657,3927,3544
287703,101,10018,2990,5848,95,29,125,2,1657,3928,3553
290589,102,10092,3100,5847,94,30,137,2,1657,3925,3552
293465,103,10029,3028,5776,95,29,130,2,1657,3930,3549
296393,104,10000,2989,5826,95,29,126,2,1657,3936,3554
299316,105,10063,3121,5800,94,30,141,2,1657,3927,3554
302245,106,10040,3034,5835,95,29,130,2,1657,3930,3546
305166,107,10038,3025,5832,95,29,129,2,1657,3930,3547
308099,108,10090,3160,5822,94,30,145,2,1657,3928,3554
311020,109,10062,3096,5809,94,30,137,2,1657,3927,3555
313945,110,10043,3097,5828,95,30,138,2,1657,3928,3546
316877,111,10041,3069,5823,95,30,135,2,1657,3930,3547
319806,112,10090,3135,5826,94,30,141,2,1657,3926,3553
322730,113,10087,3130,5831,94,30,141,2,1657,3925,3555
325649,114,10066,3138,5810,94,30,143,2,1657,3926,3558
328545,115,10136,3100,5762,94,30,135,2,1657,3928,3555
331456,116,10046,3096,5826,95,30,138,2,1657,3929,3544
334387,117,10025,3124,5830,95,30,143,2,1657,3930,3547
337330,118,10089,3169,5846,94,30,146,2,1657,3928,3552
340276,119,10090,3152,5809,94,30,144,2,1657,3928,3554
343229,120,10109,3172,5828,94,30,146,2,1657,3925,3548
346163,121,10052,3107,5823,95,30,139,2,1657,3928,3544
349101,122,10040,3195,5821,95,31,152,2,1657,3928,3544
352039,123,10038,3098,5821,95,30,139,2,1657,3930,3546
354988,124,10041,3087,5833,95,30,137,2,1657,3930,3547
357931,125,10077,3195,5843,94,31,150,2,1657,3927,3553
360880,126,10039,3124,5796,95,30,142,2,1657,3930,3544
363838,127,10019,3098,5852,95,30,140,2,1657,3929,3552
366789,128,10087,3156,5847,94,30,144,2,1657,3926,3552
369734,129,10028,3086,5838,95,30,137,2,1657,3929,3549
372687,130,10048,3057,5813,95,29,133,2,1657,3930,3544
375647,131,10093,3160,5846,94,30,145,2,1657,3926,3552
378627,132,10120,3194,5732,94,30,148,2,1657,3928,3560
381594,133,10126,3172,5821,94,30,145,2,1657,3926,3544
384577,134,10091,3158,5851,94,30,145,2,1657,3926,3552
387547,135,10110,3158,5834,94,30,144,2,1657,3925,3547
390530,136,10093,3172,5855,94,30,146,2,1657,3928,3552
393519,137,10053,3135,5823,95,30,143,2,1657,3929,3544
396496,138,10020,3087,5856,95,30,138,2,1657,3929,3552
399483,139,10092,3158,5846,94,30,144,2,1657,3926,3552
402467,140,10072,3129,5862,94,30,141,2,1657,3929,3554
405458,141,10051,3145,5854,95,30,145,2,1657,3928,3544
408441,142,10092,3160,5849,94,30,145,2,1657,3925,3552
411439,143,10077,3192,5846,94,31,150,2,1657,3928,3552
414434,144,10076,3196,5846,94,31,151,2,1657,3928,3554
417418,145,10014,3084,5850,95,30,138,2,1657,3929,3552
420437,146,10194,3269,5775,93,31,155,2,1657,3925,3556
423441,147,10040,3130,5839,95,30,143,2,1657,3929,3547
426446,148,10013,3066,5834,95,30,135,2,1657,3930,3552
429459,149,10021,3041,5824,95,29,132,2,1657,3929,3552
432455,150,10092,3160,5852,94,30,145,2,1657,3925,3552
435456,151,10021,3063,5850,95,30,135,2,1657,3929,3552
438464,152,10089,3129,5856,94,30,141,2,1491,3926,3553
441481,153,10053,3109,5825,95,30,140,2,1491,3929,3544
444508,154,10117,3148,5826,94,30,142,2,1491,3925,3546
447544,155,10097,3160,5849,94,30,145,2,1491,3927,3552
450563,156,10090,3158,5846,94,30,145,2,1491,3925,3553
453584,157,10052,3109,5864,95,30,140,2,1491,3928,3544
456594,158,10166,3268,5833,93,31,157,2,1491,3922,3547
459593,159,10115,3170,5828,94,30,145,2,1491,3925,3546
462573,160,10045,3196,5863,95,31,152,2,1491,3928,3543
465597,161,10049,3130,5863,95,30,143,2,1491,3928,3544
468601,162,10136,3160,5773,94,30,143,2,1491,3928,3560
471616,163,10125,3159,5823,94,30,143,2,1491,3926,3544
474651,164,10094,3141,5822,94,30,142,2,1491,3925,3552
477690,165,10116,3171,5829,94,30,145,2,1491,3925,3546
480732,166,10079,3196,5855,94,31,150,2,1491,3928,3552
483757,167,10084,3145,5850,94,30,143,2,1491,3928,3554
486782,168,10058,3098,5817,94,30,138,2,1491,3928,3543
489828,169,10021,3105,5855,95,30,140,2,1491,3928,3552
492884,170,10040,3099,5838,95,30,139,2,1491,3930,3546
495932,171,10089,3159,5856,94,30,145,2,1491,3928,3554
498979,172,10044,3128,5830,95,30,143,2,1491,3928,3546
502027,173,10043,3130,5882,95,30,143,2,1491,3928,3546
505058,174,10091,3140,5846,94,30,142,2,1491,3928,3552
508109,175,10053,3100,5860,95,30,138,2,1491,3930,3544
511158,176,10052,3159,5878,95,30,147,2,1491,3928,3544
514202,177,10089,3136,5857,94,30,142,2,1491,3927,3554
517251,178,10094,3160,5852,94,30,145,2,1491,3926,3552
520283,179,10041,3100,5834,95,30,139,2,1491,3929,3546
523335,180,10020,3100,5855,95,30,140,2,1491,3929,3552
526399,181,10041,3158,5894,95,30,147,2,1491,3928,3546
529462,182,10055,3100,5825,95,30,138,2,1491,3928,3544
532543,183,10090,3172,5858,94,30,147,2,1491,3927,3554
535611,184,10020,3093,5852,95,30,139,2,1491,3930,3552
538683,185,10203,3202,5797,93,30,145,2,1491,3923,3557
541736,186,10194,3196,5646,93,30,145,2,1491,3929,3555
544830,187,10180,3201,5692,93,30,146,2,1491,3925,3547
547915,188,10111,3086,5691,94,29,134,2,1491,3928,3547
550980,189,10124,3108,5678,94,30,136,2,1491,3928,3544
554056,190,10237,3170,5636,93,30,140,2,1491,3925,3552
557124,191,10167,3171,5695,93,30,143,2,1491,3925,3552
560186,192,10219,3194,5616,93,30,144,2,1491,3928,3554
563261,193,10125,3138,5730,94,30,140,2,1491,3925,3544
566355,194,9936,3196,5888,96,31,158,2,1491,3927,3552
569437,195,10027,3196,5828,95,31,153,2,1491,3928,3546
572529,196,9960,3146,5902,96,31,149,2,1491,3925,3547
575611,197,9995,2995,5719,95,29,127,2,1491,3928,3554
578693,198,9980,3109,5860,95,30,143,2,1491,3928,3544
581813,199,10009,3195,5841,95,31,154,2,1491,3928,3552
603586,200,10033,3342,6408,95,32,175,2,497,3928,3544
650358,201,10266,3376,5826,92,32,167,2,0,3923,3545
653493,202,10095,3317,5883,94,32,168,2,166,3930,3552
656633,203,10351,3426,5799,92,32,171,2,331,3925,3555
659769,204,10184,3303,5907,93,31,161,2,497,3928,3547
662909,205,10366,3524,5871,91,33,185,2,663,3923,3558
666067,206,10387,3631,5909,91,34,201,2,829,3923,3547
669230,207,10339,3505,6046,92,33,184,2,994,3923,3545
672389,208,10442,3631,6071,91,34,198,2,1160,3923,3553
675551,209,10296,3560,6004,92,33,195,2,1326,3928,3553
678702,210,10311,3524,6072,92,33,188,2,1491,3925,3552
681866,211,10281,3452,6086,92,32,178,2,1491,3926,3558
