t_ms,mass_g,status
108,5.6036,D
108,5.6036,D
108,5.6036,D
219,5.6036,D
219,5.6036,D
329,5.6036,D
329,5.6036,D
329,5.6036,D
438,5.6036,D
438,5.6036,D
549,5.6036,D
549,5.6036,D
658,5.6036,D
659,5.6036,D
659,5.6036,D
768,5.6036,D
768,5.6036,D
878,5.6036,D
878,5.6036,D
878,5.6036,D
986,5.6036,D
986,5.6036,D
987,5.6035,D
1096,5.6035,D
1096,5.6035,D
1206,5.6035,D
1206,5.6035,D
1206,5.6035,D
1316,5.6035,D
1316,5.6035,D
1427,5.6035,D
1427,5.6035,D
1427,5.6035,D
1538,5.6035,D
1538,5.6035,D
1647,5.6035,D
1647,5.6035,D
1647,5.6035,D
1758,5.6035,D
1758,5.6035,D
1869,5.6035,D
1869,5.6035,D
1869,5.6035,D
1979,5.6035,D
1979,5.6035,D
2089,5.6035,D
2089,5.6035,D
2089,5.6035,D
2197,5.6034,D
2198,5.6034,D
2307,5.6034,D
2307,5.6034,D
2307,5.6034,D
2415,5.6034,D
2415,5.6034,D
2525,5.6034,D
2525,5.6034,D
2525,5.6034,D
2635,5.6034,D
2636,5.6034,D
2747,5.6034,D
2747,5.6034,D
2747,5.6034,D
2856,5.6034,D
2856,5.6034,D
2856,5.6034,D
2966,5.6034,D
2966,5.6034,D
3076,5.6033,D
3076,5.6033,D
3076,5.6033,D
3187,5.6033,D
3187,5.6033,D
3298,5.6033,D
3299,5.6033,D
3410,5.6033,D
3410,5.6033,D
3410,5.6033,D
3519,5.6032,D
3519,5.6032,D
3519,5.6032,D
3629,5.6032,D
3629,5.6032,D
3739,5.6032,D
3739,5.6032,D
3739,5.6032,D
3847,5.6032,D
3847,5.6032,D
3957,5.6032,D
3957,5.6032,D
3957,5.6032,D
4067,5.6032,D
4068,5.6032,D
4177,5.6032,D
4177,5.6032,D
4177,5.6032,D
4288,5.6032,D
4288,5.6032,D
4397,5.6032,D
4397,5.6032,D
4397,5.6032,D
4507,5.6032,D
4507,5.6032,D
4618,5.6032,D
4618,5.6032,D
4618,5.6032,D
4728,5.6032,D
4728,5.6032,D
4839,5.6032,D
4839,5.6032,D
4839,5.6032,D
4949,5.6032,D
4949,5.6032,D
5058,5.6032,D
5058,5.6031,D
5058,5.6031,D
5168,5.6031,D
5168,5.6031,D
5279,5.6031,D
5279,5.6031,D
5279,5.6031,D
5388,5.6031,D
5388,5.6031,D
5498,5.6031,D
5498,5.6031,D
5498,5.6031,D
5609,5.6031,D
5609,5.6031,D
5609,5.6031,D
5720,5.6031,D
5720,5.6031,D
5828,5.6031,D
5829,5.6031,D
5829,5.6031,D
5938,5.6031,D
5938,5.6031,D
6047,5.6031,D
6047,5.6031,D
6047,5.6030,D
6157,5.6030,D
6157,5.6030,D
6267,5.6030,D
6267,5.6030,D
6267,5.6030,D
6377,5.6030,D
6377,5.6030,D
6486,5.6030,D
6487,5.6030,D
6487,5.6030,D
6597,5.6030,D
6597,5.6030,D
6707,5.6030,D
6707,5.6030,D
6707,5.6030,D
6817,5.6030,D
6817,5.6030,D
6926,5.6030,D
6926,5.6030,D
6926,5.6030,D
7036,5.6030,D
7036,5.6030,D
7146,5.6030,D
7146,5.6030,D
7146,5.6030,D
7256,5.6030,D
7256,5.6030,D
7366,5.6030,D
7366,5.6030,D
7366,5.6030,D
7475,5.6030,D
7475,5.6030,D
7585,5.6030,D
7585,5.6030,D
7693,5.6030,D
7694,5.6030,D
7694,5.6030,D
7805,5.6030,D
7805,5.6030,D
7805,5.6030,D
7915,5.6030,D
7915,5.6030,D
8026,5.6030,D
8026,5.6029,D
8026,5.6029,D
8135,5.6029,D
8136,5.6029,D
8136,5.6029,D
8244,5.6029,D
8244,5.6029,D
8354,5.6029,D
8354,5.6029,D
8464,5.6029,D
8464,5.6029,D
8464,5.6029,D
8573,5.6029,D
8573,5.6029,D
8573,5.6029,D
8684,5.6029,D
8684,5.6029,D
8794,5.6029,D
8794,5.6029,D
8905,5.6029,D
8905,5.6029,D
8905,5.6029,D
9014,5.6029,D
9014,5.6029,D
9124,5.6029,D
9124,5.6029,D
9124,5.6029,D
9235,5.6029,D
9235,5.6029,D
9235,5.6029,D
9345,5.6029,D
9345,5.6029,D
9456,5.6029,D
9456,5.6029,D
9456,5.6029,D
9568,5.6029,D
9568,5.6029,D
9679,5.6029,D
9679,5.6028,D
9679,5.6027,D
9789,5.6027,D
9789,5.6027,D
9899,5.6027,D
9900,5.6027,D
9900,5.6027,D
10010,5.6027,D
10011,5.6027,D
10119,5.6027,D
10119,5.6027,D
