t_ms,mass_g,status
109,7.6835,D
109,7.6835,D
217,7.6835,D
217,7.6833,D
217,7.6833,D
328,7.6833,D
328,7.6833,D
438,7.6832,D
438,7.6832,D
438,7.6832,D
550,7.6832,D
550,7.6832,D
658,7.6832,D
658,7.6832,D
767,7.6833,D
767,7.6833,D
767,7.7150,D
877,7.7258,D
877,7.7266,D
877,7.7265,D
984,7.7263,D
984,7.7261,D
1094,7.7258,D
1095,7.7254,D
1095,7.7250,D
1206,7.7248,D
1206,7.7246,D
1316,7.7244,D
1316,7.7242,D
1317,7.7241,D
1426,7.7240,D
1426,7.7239,D
1534,7.7238,D
1535,7.7238,D
1535,7.7237,D
1645,7.7235,D
1645,7.7234,D
1756,7.7234,D
1757,7.7234,D
1757,7.7234,D
1867,7.7234,D
1867,7.7234,D
1978,7.7233,D
1978,7.7233,D
2088,7.7233,D
2088,7.7233,D
2088,7.7233,D
2199,7.7233,D
2200,7.7233,D
2200,7.7233,D
2310,7.7233,D
2310,7.7232,D
2310,7.7231,D
2418,7.7231,D
2419,7.7231,D
2529,7.7231,D
2529,7.7231,D
2529,7.7231,D
2639,7.7231,D
2639,7.7231,D
2748,7.7231,D
2749,7.7231,D
2859,7.7232,D
2859,7.7235,D
2859,7.7602,D
2970,7.7660,D
2970,7.7665,D
2970,7.7664,D
3081,7.7662,D
3081,7.7659,D
3190,7.7656,D
3190,7.7652,D
3300,7.7649,D
3300,7.7647,D
3300,7.7645,D
3410,7.7643,D
3410,7.7641,D
3410,7.7640,D
3518,7.7639,D
3518,7.7638,D
3629,7.7638,D
3630,7.7637,D
3630,7.7636,D
3739,7.7635,D
3739,7.7634,D
3850,7.7634,D
3850,7.7633,D
3850,7.7633,D
3960,7.7633,D
3960,7.7633,D
4071,7.7633,D
4071,7.7633,D
4071,7.7633,D
4181,7.7633,D
4181,7.7633,D
4291,7.7633,D
4291,7.7633,D
4291,7.7633,D
4400,7.7633,D
4401,7.7633,D
4510,7.7633,D
4511,7.7633,D
4511,7.7633,D
4621,7.7633,D
4621,7.7633,D
4732,7.7633,D
4732,7.7633,D
4732,7.7633,D
4841,7.7633,D
4841,7.7633,D
4953,7.7633,D
4953,7.7633,D
4953,7.7979,D
5063,7.8064,D
5063,7.8069,D
5063,7.8068,D
5174,7.8066,D
5174,7.8064,D
5285,7.8060,D
5285,7.8056,D
5285,7.8052,D
5396,7.8048,D
5396,7.8045,D
5507,7.8043,D
5507,7.8042,D
5507,7.8041,D
5617,7.8040,D
5617,7.8039,D
5726,7.8039,D
5726,7.8038,D
5726,7.8036,D
5836,7.8035,D
5836,7.8035,D
5944,7.8035,D
5944,7.8035,D
5945,7.8035,D
6054,7.8035,D
6054,7.8035,D
6164,7.8036,D
6164,7.8036,D
6164,7.8036,D
6274,7.8036,D
6274,7.8036,D
6383,7.8036,D
6383,7.8036,D
6383,7.8036,D
6493,7.8036,D
6493,7.8036,D
6602,7.8036,D
6602,7.8035,D
6602,7.8035,D
6712,7.8035,D
6712,7.8035,D
6822,7.8035,D
6823,7.8035,D
6823,7.8035,D
6934,7.8035,D
6934,7.8035,D
7043,7.8035,D
7043,7.8035,D
7043,7.8434,D
7154,7.8466,D
7154,7.8467,D
7262,7.8466,D
7262,7.8464,D
7262,7.8462,D
7374,7.8459,D
7374,7.8455,D
7484,7.8452,D
7484,7.8449,D
7484,7.8447,D
7595,7.8445,D
7595,7.8443,D
7595,7.8442,D
7704,7.8441,D
7704,7.8440,D
7815,7.8440,D
7815,7.8439,D
7815,7.8438,D
7924,7.8437,D
7924,7.8436,D
8032,7.8436,D
8033,7.8436,D
8142,7.8436,D
8142,7.8435,D
8142,7.8435,D
8252,7.8435,D
8252,7.8435,D
8361,7.8435,D
8361,7.8435,D
8361,7.8435,D
8471,7.8435,D
8472,7.8435,D
8472,7.8435,D
8580,7.8435,D
8580,7.8435,D
8691,7.8435,D
8692,7.8435,D
8692,7.8435,D
8803,7.8435,D
8803,7.8435,D
8914,7.8435,D
8914,7.8435,D
8914,7.8435,D
9025,7.8435,D
9025,7.8435,D
9134,7.8435,D
9135,7.8436,D
9135,7.8806,D
9245,7.8865,D
9245,7.8869,D
9355,7.8868,D
9355,7.8866,D
9355,7.8864,D
9466,7.8861,D
9466,7.8857,D
9577,7.8854,D
9577,7.8851,D
9577,7.8849,D
9686,7.8847,D
9686,7.8845,D
9795,7.8844,D
9796,7.8843,D
9796,7.8842,D
9906,7.8841,D
9906,7.8841,D
10014,7.8839,D
10014,7.8837,D
10014,7.8837,D
10123,7.8837,D
10124,7.8837,D
10234,7.8836,D
10234,7.8836,D
10234,7.8836,D
10344,7.8835,D
10344,7.8835,D
10455,7.8834,D
10455,7.8834,D
10455,7.8834,D
10566,7.8834,D
10566,7.8834,D
10566,7.8834,D
10678,7.8834,D
10678,7.8834,D
10789,7.8834,D
10789,7.8834,D
10900,7.8834,D
10900,7.8834,D
10900,7.8834,D
11008,7.8834,D
11008,7.8834,D
11008,7.8834,D
11117,7.8834,D
11118,7.8834,D
11229,7.8834,D
11229,7.8835,D
11229,7.9200,D
11330,7.9259,D
11330,7.9263,D
11441,7.9263,D
11442,7.9261,D
11442,7.9260,D
11553,7.9256,D
11553,7.9253,D
11665,7.9250,D
11665,7.9248,D
11777,7.9245,D
11777,7.9244,D
11777,7.9242,D
11890,7.9241,D
11890,7.9240,D
11890,7.9239,D
12002,7.9238,D
12002,7.9237,D
12115,7.9237,D
12115,7.9234,D
12115,7.9234,D
