uart_idx,step_idx,t_uart_rel_ms,t_step_rel_ms,t_lag_ms,delta_g,v_true_uL,v_est_uL,v_diff_uL
1,1,2778.0,2859.0,81.0,0.04020000000000046,40.20000000000046,49.45911124240777,9.259111242407315
4,5,11102.0,11234.0,132.0,0.03989684684684747,39.89684684684747,48.08400549850879,8.18715865166132
7,9,19467.0,19659.0,192.0,0.04020000000000046,40.20000000000046,48.156937549234485,7.956937549234027
10,13,27827.0,28084.0,257.0,0.03990000000000116,39.90000000000116,47.286145724153435,7.3861457241522785
13,17,36190.0,36559.0,369.0,0.04039999999999999,40.39999999999999,48.83618600494932,8.436186004949327
16,21,44574.0,45084.0,510.0,0.040691441441440546,40.691441441440546,48.54405526034001,7.852613818899464
23,30,64231.0,64234.0,3.0,0.04020000000000046,40.20000000000046,49.13362678200812,8.933626782007664
26,34,72654.0,72759.0,105.0,0.040300000000000225,40.300000000000225,48.505555165869104,8.20555516586888
29,38,81127.0,81384.0,257.0,0.039949999999999264,39.949999999999264,49.821067808487285,9.871067808488021
32,42,89626.0,89959.0,333.0,0.03968055555555594,39.68055555555594,48.15488308886933,8.474327533313392
35,46,98117.0,98484.0,367.0,0.04020000000000046,40.20000000000046,48.64507744738485,8.445077447384392
38,50,106630.0,107134.0,504.0,0.04025000000000034,40.25000000000034,47.91083335565365,7.66083335565331
42,55,118052.0,117959.0,-93.0,0.04010000000000069,40.10000000000069,48.50665743743069,8.406657437429999
45,59,126615.0,126709.0,94.0,0.04020000000000046,40.20000000000046,48.99869489857799,8.79869489857753
48,63,135191.0,135384.0,193.0,0.04039999999999999,40.39999999999999,47.790809694765024,7.390809694765032
51,67,143788.0,144084.0,296.0,0.04005000000000081,40.05000000000081,46.90143449231376,6.851434492312954
54,71,152405.0,152784.0,379.0,0.040300000000000225,40.300000000000225,47.35079959543494,7.050799595434718
57,75,161039.0,161559.0,520.0,0.040500000000001535,40.500000000001535,47.95366412654645,7.453664126544915
61,80,172574.0,172534.0,-40.0,0.03979999999999961,39.79999999999961,48.28437514219338,8.48437514219377
64,84,181247.0,181309.0,62.0,0.04039999999999999,40.39999999999999,46.071675365234746,5.671675365234755
67,88,189942.0,190184.0,242.0,0.04020000000000046,40.20000000000046,47.7884062031236,7.588406203123142
70,92,198720.0,199034.0,314.0,0.04010000000000069,40.10000000000069,48.39602998098752,8.29602998098683
73,96,207447.0,207884.0,437.0,0.04019999999999868,40.19999999999868,48.39130683548473,8.191306835486046
76,100,216230.0,216684.0,454.0,0.03990000000000116,39.90000000000116,48.995343192778826,9.09534319277767
83,109,236676.0,236834.0,158.0,0.04035000000000011,40.35000000000011,46.419940779317706,6.069940779317598
86,113,245461.0,245734.0,273.0,0.04129999999999967,41.29999999999967,49.55209009892031,8.25209009892064
89,117,254294.0,254709.0,415.0,0.04025000000000034,40.25000000000034,48.69743510403847,8.447435104038128
92,121,263119.0,263659.0,540.0,0.04020000000000046,40.20000000000046,48.69370412072218,8.493704120721723
96,126,274920.0,274934.0,14.0,0.040302654867257814,40.302654867257814,49.38383791612671,9.081183048868894
99,130,283778.0,283884.0,106.0,0.04019999999999868,40.19999999999868,49.345114236579775,9.145114236581094
102,134,292708.0,292934.0,226.0,0.040099999999998914,40.099999999998914,49.42381812973596,9.323818129737049
105,138,301650.0,301984.0,334.0,0.04020000000000046,40.20000000000046,49.14227719076132,8.942277190760862
108,142,310598.0,311084.0,486.0,0.04029999999999845,40.29999999999845,49.406716505116016,9.106716505117568
111,146,319570.0,320159.0,589.0,0.040300000000000225,40.300000000000225,50.110921126127394,9.81092112612717
115,151,331572.0,331484.0,-88.0,0.04015135135135317,40.15135135135317,49.51537633799748,9.36402498664431
118,155,340586.0,340634.0,48.0,0.04031126126126061,40.31126126126061,49.45850381274444,9.147242551483828
121,159,349612.0,349834.0,222.0,0.04049999999999976,40.49999999999976,48.748353003624835,8.248353003625077
124,163,358694.0,359009.0,315.0,0.04029999999999845,40.29999999999845,49.35624494519648,9.056244945198031
127,167,367724.0,368084.0,360.0,0.04039999999999999,40.39999999999999,48.89331185327364,8.493311853273646
134,176,388863.0,388934.0,71.0,0.04020000000000046,40.20000000000046,50.29751278300112,10.09751278300066
137,180,397959.0,398134.0,175.0,0.04039999999999999,40.39999999999999,49.64779822290014,9.247798222900151
140,184,407110.0,407359.0,249.0,0.040300000000000225,40.300000000000225,49.27449849356165,8.974498493561427
143,188,416240.0,416659.0,419.0,0.03999999999999915,39.99999999999915,49.17519966210397,9.175199662104824
146,192,425382.0,425959.0,577.0,0.03999999999999915,39.99999999999915,49.42911088335551,9.429110883356365
150,197,437593.0,437684.0,91.0,0.03979999999999961,39.79999999999961,48.572180491161255,8.772180491161642
153,201,446814.0,446984.0,170.0,0.040800000000000836,40.800000000000836,47.654975004888804,6.854975004887969
156,205,456046.0,456334.0,288.0,0.03985904920767247,39.85904920767247,45.43234091115878,5.573291703486312
159,209,465255.0,465734.0,479.0,0.040150000000000574,40.150000000000574,46.058931720200476,5.908931720199902
166,218,486824.0,486959.0,135.0,0.04024148402990235,40.24148402990235,50.413819113262555,10.172335083360203
172,252,567900.0,567959.0,59.0,0.04040000000000177,40.40000000000177,51.37275650438702,10.972756504385252
175,256,577361.0,577684.0,323.0,0.040500000000001535,40.500000000001535,54.75453307481866,14.254533074817125
178,260,586833.0,587284.0,451.0,0.0406000000000013,40.6000000000013,55.985750955632234,15.385750955630932
