abs_ms,drop_N,transit_us,pulse_top_us,pulse_bot_us,v_cmps,d_0.1mm,V_0.1uL,state,Q_cmLph,top_raw,bot_raw
1145492,219,13315,4164,7936,69,29,133,2,0,3930,3433
1147399,220,13151,3925,8215,70,28,116,2,10,3930,3434
1149329,221,13176,3927,8142,69,28,115,2,20,3929,3430
1151272,222,13190,4001,8187,69,29,122,2,30,3930,3430
1153223,223,13121,3903,8086,70,28,115,2,41,3936,3435
1155189,224,13186,3991,8181,69,28,121,2,51,3929,3429
1157158,225,13192,4047,8087,69,29,126,2,61,3929,3434
1159126,226,13196,3951,8071,69,28,117,2,71,3930,3433
1161105,227,13263,4076,8040,69,29,126,2,81,3930,3429
1163081,228,13075,3759,8123,70,27,103,2,91,3936,3431
1165061,229,13209,3992,8086,69,28,120,2,101,3929,3434
1167052,230,13128,3900,8023,70,28,114,2,111,3936,3434
1169043,231,13069,3688,8061,70,27,98,2,122,3930,3432
1171048,232,13182,3934,8087,69,28,116,2,132,3930,3432
1173053,233,13227,4032,8041,69,29,123,2,142,3930,3429
1175063,234,13169,3860,8056,69,28,109,2,152,3929,3432
1177082,235,13186,3974,8064,69,28,119,2,152,3929,3431
1179103,236,13156,3859,8081,70,28,110,2,152,3929,3434
1181130,237,13192,3946,8058,69,28,116,2,152,3930,3432
1183161,238,13153,3969,8047,70,28,120,2,152,3936,3431
1185198,239,13224,3994,8017,69,28,120,2,142,3929,3437
1187239,240,13223,3986,8072,69,28,119,2,142,3929,3433
1189281,241,13159,3907,8047,70,28,114,2,142,3929,3430
1191325,242,13170,3970,8037,69,28,119,2,142,3929,3429
1193369,243,13152,3896,8054,70,28,113,2,142,3930,3431
1195423,244,13137,3833,8061,70,27,108,2,142,3929,3432
1197469,245,13183,3888,8079,69,28,112,2,142,3931,3435
1199516,246,13127,3823,8006,70,27,107,2,142,3931,3435
1201569,247,13121,3837,8012,70,27,109,2,142,3932,3434
1203624,248,13142,3832,8055,70,27,108,2,142,3930,3432
1205675,249,13258,4071,8057,69,29,126,2,142,3930,3432
1207745,250,13075,3714,7987,70,27,100,2,142,3936,3432
1209803,251,13168,3860,8054,69,28,110,2,142,3930,3432
1211867,252,13166,3790,8039,69,27,104,2,142,3929,3429
1213928,253,13192,3834,7942,69,27,107,2,142,3930,3435
1215988,254,13143,3830,8059,70,27,108,2,142,3930,3432
1218051,255,13186,3866,8122,69,28,110,2,142,3930,3431
1220123,256,13284,3937,8007,69,28,113,2,142,3929,3436
1222209,257,13130,3863,8077,70,28,111,2,142,3931,3434
1224283,258,13168,3866,8080,69,28,110,2,142,3930,3434
1226355,259,13141,3798,8117,70,27,105,2,142,3930,3429
1228440,260,13301,4015,8007,69,28,119,2,142,3929,3434
1230512,261,13168,3922,8199,69,28,115,2,142,3929,3432
1232583,262,13052,3676,8149,70,26,97,2,142,3936,3437
1234667,263,13216,4013,8108,69,29,122,2,142,3930,3429
1236768,264,13192,3956,8090,69,28,117,2,142,3930,3434
1238855,265,13114,3858,8104,70,28,111,2,142,3931,3435
1240948,266,13121,3826,8104,70,27,108,2,142,3930,3434
1243035,267,13156,3914,8074,70,28,115,2,142,3929,3432
1245128,268,13123,3898,8147,70,28,114,2,142,3930,3434
1247222,269,13127,3833,8076,70,27,108,2,142,3930,3433
1249315,270,13198,3943,8073,69,28,116,2,142,3930,3432
1251407,271,13123,3880,8150,70,28,113,2,142,3936,3433
1253503,272,13147,3935,8055,70,28,117,2,142,3930,3432
1255600,273,13070,3760,8064,70,27,104,2,142,3936,3432
1257702,274,13092,3753,8059,70,27,102,2,142,3930,3429
1259798,275,13075,3752,8126,70,27,103,2,142,3933,3432
1261903,276,13148,3899,8127,70,28,114,2,142,3929,3432
1306447,277,13046,3755,8450,70,27,104,2,0,3929,3438
1308586,278,13003,3726,8422,71,27,103,2,10,3931,3432
1310722,279,13076,3828,8442,70,28,109,2,20,3930,3432
1312854,280,13118,3951,8435,70,28,119,2,30,3930,3432
1314998,281,13092,3870,8448,70,28,113,2,41,3929,3434
1317136,282,13110,3824,8323,70,27,108,2,51,3929,3435
1319276,283,13064,3772,8446,70,27,105,2,61,3929,3434
